idx,n_cells,coverage_fraction,rouleaux_fraction,n_isolated,crenation_fraction,median_area,area_cv
261,5519,0.5641452806122449,0.1297336473998913,1020,0.029411764705882353,322.0,9.020273917874137
262,5256,0.5569096938775511,0.1280441400304414,979,0.027579162410623085,348.0,5.414755749831063
263,5021,0.5848382653061225,0.12188807010555666,1111,0.018901890189018902,318.0,8.494815425429485
264,5140,0.5821357142857143,0.12743190661478598,952,0.01680672268907563,338.5,4.152056984097557
265,4845,0.5572542091836735,0.11269349845201239,1159,0.026747195858498704,302.0,6.292728515203276
266,4483,0.5964423469387755,0.1137631050635735,944,0.028601694915254237,318.0,9.95300552109195
267,3998,0.6163230867346938,0.10455227613806903,1014,0.027613412228796843,275.0,18.713934175639213
268,3424,0.6705381377551021,0.09404205607476636,996,0.023092369477911646,263.0,18.05382221575226
269,3541,0.6592913265306123,0.10505506918949449,963,0.017653167185877467,253.0,15.541973455837153
270,4048,0.6448091836734694,0.11215415019762846,847,0.021251475796930343,281.0,10.18504141058273
271,6010,0.5454758928571428,0.1610648918469218,1165,0.04463519313304721,283.0,12.12801264300286
272,4837,0.5885956632653061,0.13582799255737027,944,0.0646186440677966,257.0,14.633873532319537
273,4802,0.6310102040816327,0.15556018325697626,944,0.0413135593220339,283.0,30.677740940251596
274,5082,0.5761417091836735,0.13616686343959072,1059,0.04343720491029273,285.0,8.407571870100849
275,5163,0.5821676020408163,0.13848537671896186,1078,0.032467532467532464,307.0,13.105607178457891
276,5292,0.6002543367346939,0.16439909297052155,932,0.022532188841201718,315.0,8.011613634579982
277,5353,0.5943733418367347,0.14253689519895385,965,0.03316062176165803,313.0,14.125401797197497
278,4702,0.6291438775510204,0.14376860910250958,1007,0.036742800397219465,314.0,14.716036194108655
279,5671,0.5843045918367347,0.143008287779933,1086,0.01841620626151013,320.0,6.086135541316752
